TIF ID,TIF NAME,REPORTING CATEGORY,DESCRIPTION,AMOUNT
T-030,Near North,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-030,Near North,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-030,Near North,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-030,Near North,Revenues over expenditures,,$-7918087.00
T-030,Near North,"Fund balance, beginning of year",,$34402992.00
T-030,Near North,"Fund balance, end of year",,$26484905.00
T-030,Near North,Fund balance,Reserved for debt service,$14956290.00
T-030,Near North,Fund balance,Reserved for encumbrances,$0.00
T-030,Near North,Fund balance,Designated for future redevelopment project costs,$28155753.00
T-030,Near North,Fund balance,Total fund balance,$43112043.00
T-031,Near South,Other financing uses,Operating transfers out,$-1450000.00
T-031,Near South,Revenues over expenditures,,$-36717165.00
T-031,Near South,Expenditures,Total expenditures,$36717165.00
T-031,Near South,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-031,Near South,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$4897041.00
T-031,Near South,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-031,Near South,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-031,Near South,Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-031,Near South,Fund balance,Total fund balance,$104518122.00
T-031,Near South,Fund balance,Designated for future redevelopment project costs,$64923466.00
T-031,Near South,Fund balance,Reserved for encumbrances,$0.00
T-031,Near South,Fund balance,Reserved for debt service,$39594656.00
T-031,Near South,Expenditures,Relocation costs. (q)(8),$0.00
T-031,Near South,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-031,Near South,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-031,Near South,Expenditures,Financing costs. (q)(6),$9542791.00
T-031,Near South,Expenditures,Cost of job training and retraining. (q)(5),$106707.00
T-031,Near South,Expenditures,Costs of construction of public works and improvements. (q)(4),$11629119.00
T-031,Near South,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$0.00
T-031,Near South,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$9407184.00
T-031,Near South,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-031,Near South,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$1134323.00
T-031,Near South,Revenues,Total revenues,$0.00
T-031,Near South,Revenues,Rental revenue,$0.00
T-031,Near South,Revenues,Miscellaneous revenue,$0.00
T-031,Near South,Revenues,Interest,$0.00
T-031,Near South,Revenues,Sales tax,$0.00
T-031,Near South,Fund balance,End of year,$53543717.00
T-031,Near South,Revenues,Property tax,$0.00
T-031,Near South,Fund balance,Beginning of year,$91710882.00
T-031,Near South,Revenues over expenditures and other financing uses,,$-38167165.00
T-032,Near West,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-032,Near West,Fund balance,Designated for future redevelopment project costs,$42800640.00
T-032,Near West,Expenditures,Cost of job training and retraining. (q)(5),$33400.00
T-032,Near West,Expenditures,Costs of construction of public works and improvements. (q)(4),$1991.00
T-032,Near West,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$0.00
T-032,Near West,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$0.00
T-032,Near West,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-032,Near West,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$201836.00
T-032,Near West,Revenues,Total revenues,$0.00
T-032,Near West,Revenues,Interest,$0.00
T-032,Near West,Revenues,Sales tax,$0.00
T-032,Near West,Revenues,Property tax,$0.00
T-032,Near West,Fund balance,Total fund balance,$44925768.00
T-032,Near West,Fund balance,Reserved for debt service,$2125128.00
T-032,Near West,Fund balance,End of year,$33750082.00
T-032,Near West,Fund balance,Beginning of year,$39568404.00
T-032,Near West,Revenues over expenditures and other financing uses,,$-5818322.00
T-032,Near West,Other financing uses,Operating transfers out,$-4217095.00
T-032,Near West,Revenues over expenditures,,$-1601227.00
T-032,Near West,Expenditures,Total expenditures,$1601227.00
T-032,Near West,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-032,Near West,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-032,Near West,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-032,Near West,Fund balance,Reserved for encumbrances,$0.00
T-032,Near West,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-032,Near West,Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-032,Near West,Expenditures,Relocation costs. (q)(8),$0.00
T-032,Near West,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-032,Near West,Expenditures,Financing costs. (q)(6),$1364000.00
T-033,North Branch (North),Revenues and other financing sources over expenditures,,$3437403.00
T-033,North Branch (North),Revenues,Property tax,$4408414.00
T-033,North Branch (North),Revenues,Sales tax,$0.00
T-033,North Branch (North),Revenues,Interest,$30086.00
T-033,North Branch (North),Revenues,Total revenues,$4438500.00
T-033,North Branch (North),Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$76584.00
T-033,North Branch (North),Expenditures,Marketing costs.  (q)(1.6),$0.00
T-033,North Branch (North),Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$0.00
T-033,North Branch (North),Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$0.00
T-033,North Branch (North),Expenditures,Costs of construction of public works and improvements. (q)(4),$1040889.00
T-033,North Branch (North),Expenditures,Cost of job training and retraining. (q)(5),$64228.00
T-033,North Branch (North),Expenditures,Financing costs. (q)(6),$0.00
T-033,North Branch (North),Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-033,North Branch (North),Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-033,North Branch (North),Expenditures,Relocation costs. (q)(8),$0.00
T-033,North Branch (North),Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-033,North Branch (North),Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-033,North Branch (North),Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-033,North Branch (North),Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-033,North Branch (North),Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-033,North Branch (North),Expenditures,Total expenditures,$1181701.00
T-033,North Branch (North),Revenues over expenditures,,$3256799.00
T-033,North Branch (North),Other financing sources,Operating transfers in,$180604.00
T-033,North Branch (North),"Fund balance, beginning of year",Beginning of year,$21492979.00
T-033,North Branch (North),"Fund balance, end of year",End of year,$24930382.00
T-033,North Branch (North),Fund balance,Reserved for debt service,$0.00
T-033,North Branch (North),Fund balance,Reserved for encumbrances,$0.00
T-033,North Branch (North),Fund balance,Designated for future redevelopment project costs,$24930382.00
T-033,North Branch (North),Fund balance,Total fund balance,$24930382.00
T-034,North Branch (South),Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-034,North Branch (South),Expenditures,Relocation costs. (q)(8),$0.00
T-034,North Branch (South),Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-034,North Branch (South),Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-034,North Branch (South),Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-034,North Branch (South),Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-034,North Branch (South),Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-034,North Branch (South),Expenditures,Total expenditures,$3375320.00
T-034,North Branch (South),Revenues over expenditures,,$2300716.00
T-034,North Branch (South),Other financing sources,Operating transfers in,$2500000.00
T-034,North Branch (South),Revenues and other financing sources over expenditures,,$4800716.00
T-034,North Branch (South),Fund balance,Beginning of year,$22854256.00
T-034,North Branch (South),Fund balance,End of year,$27654972.00
T-034,North Branch (South),Fund balance,Reserved for debt service,$0.00
T-034,North Branch (South),Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-034,North Branch (South),Expenditures,Financing costs. (q)(6),$0.00
T-034,North Branch (South),Expenditures,Cost of job training and retraining. (q)(5),$16166.00
T-034,North Branch (South),Expenditures,Costs of construction of public works and improvements. (q)(4),$3130657.00
T-034,North Branch (South),Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$130766.00
T-034,North Branch (South),Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$0.00
T-034,North Branch (South),Expenditures,Marketing costs.  (q)(1.6),$0.00
T-034,North Branch (South),Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$97731.00
T-034,North Branch (South),Revenues,Total revenues,$5676036.00
T-034,North Branch (South),Revenues,Interest,$31403.00
T-034,North Branch (South),Revenues,Sales tax,$0.00
T-034,North Branch (South),Revenues,Property tax,$5644633.00
T-034,North Branch (South),Fund balance,Reserved for encumbrances,$0.00
T-034,North Branch (South),Fund balance,Designated for future redevelopment project costs,$27654972.00
T-034,North Branch (South),Fund balance,Total fund balance,$27654972.00
T-035,North-Cicero,Revenues,Property tax,$1136170.00
T-035,North-Cicero,Revenues,Sales tax,$0.00
T-035,North-Cicero,Revenues,Interest,$2800.00
T-035,North-Cicero,Revenues,Total revenues,$1138970.00
T-035,North-Cicero,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$23954.00
T-035,North-Cicero,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-035,North-Cicero,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$1160423.00
T-035,North-Cicero,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$174808.00
T-035,North-Cicero,Expenditures,Costs of construction of public works and improvements. (q)(4),$0.00
T-035,North-Cicero,Expenditures,Cost of job training and retraining. (q)(5),$0.00
T-035,North-Cicero,Expenditures,Financing costs. (q)(6),$0.00
T-035,North-Cicero,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-035,North-Cicero,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-035,North-Cicero,Expenditures,Relocation costs. (q)(8),$0.00
T-035,North-Cicero,Fund balance,Total fund balance,$1545098.00
T-035,North-Cicero,Fund balance,Designated for future redevelopment project costs,$1545098.00
T-035,North-Cicero,Fund balance,Reserved for encumbrances,$0.00
T-035,North-Cicero,Fund balance,Reserved for debt service,$0.00
T-035,North-Cicero,Fund balance,End of year,$1545098.00
T-035,North-Cicero,Fund balance,Beginning of year,$1765313.00
T-035,North-Cicero,Expenditures over revenues,,$-220215.00
T-035,North-Cicero,Expenditures,Total expenditures,$1359185.00
T-035,North-Cicero,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-035,North-Cicero,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-035,North-Cicero,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-035,North-Cicero,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-035,North-Cicero,Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-036,Read-Dunning,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-036,Read-Dunning,Fund balance,Total fund balance,$8060602.00
T-036,Read-Dunning,Fund balance,Designated for future redevelopment project costs,$6805238.00
T-036,Read-Dunning,Fund balance,Reserved for encumbrances,$0.00
T-036,Read-Dunning,Fund balance,Reserved for debt service,$1255364.00
T-036,Read-Dunning,Fund balance,End of year,$5275174.00
T-036,Read-Dunning,Fund balance,Beginning of year,$6238091.00
T-036,Read-Dunning,Revenues over expenditures,,$-962917.00
T-036,Read-Dunning,Expenditures,Total expenditures,$962917.00
T-036,Read-Dunning,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-036,Read-Dunning,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-036,Read-Dunning,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-036,Read-Dunning,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-036,Read-Dunning,Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-036,Read-Dunning,Expenditures,Relocation costs. (q)(8),$0.00
T-036,Read-Dunning,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-036,Read-Dunning,Expenditures,Financing costs. (q)(6),$815575.00
T-036,Read-Dunning,Expenditures,Cost of job training and retraining. (q)(5),$4750.00
T-036,Read-Dunning,Expenditures,Costs of construction of public works and improvements. (q)(4),$0.00
T-036,Read-Dunning,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$0.00
T-036,Read-Dunning,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$65058.00
T-036,Read-Dunning,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-036,Read-Dunning,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$77534.00
T-036,Read-Dunning,Revenues,Total revenues,$0.00
T-036,Read-Dunning,Revenues,Interest,$0.00
T-036,Read-Dunning,Revenues,Sales tax,$0.00
T-036,Read-Dunning,Revenues,Property tax,$0.00
T-037,River South,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$0.00
T-037,River South,Revenues,Interest,$472671.00
T-037,River South,Revenues,Miscellaneous revenue,$853555.00
T-037,River South,Revenues,Total revenues,$11991189.00
T-037,River South,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$191470.00
T-037,River South,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-037,River South,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$0.00
T-037,River South,Revenues over expenditures and other financing uses,,$3736681.00
T-037,River South,Fund balance,Beginning of year,$23542338.00
T-037,River South,Fund balance,End of year,$27279019.00
T-037,River South,Fund balance,Reserved for debt service,$0.00
T-037,River South,Fund balance,Reserved for encumbrances,$0.00
T-037,River South,Fund balance,Designated for future redevelopment project costs,$27279019.00
T-037,River South,Fund balance,Total fund balance,$27279019.00
T-037,River South,Expenditures,Costs of construction of public works and improvements. (q)(4),$3948038.00
T-037,River South,Expenditures,Cost of job training and retraining. (q)(5),$0.00
T-037,River South,Expenditures,Financing costs. (q)(6),$0.00
T-037,River South,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-037,River South,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-037,River South,Expenditures,Relocation costs. (q)(8),$0.00
T-037,River South,Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-037,River South,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-037,River South,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-037,River South,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-037,River South,Expenditures,Cost of day care services and operational costs of day care centers.  (q)(11.5),$0.00
T-037,River South,Expenditures,Total expenditures,$4139508.00
T-037,River South,Revenues over expenditures,,$7851681.00
T-037,River South,Other financing uses,Operating transfers out,$-4115000.00
T-037,River South,Revenues,Property tax,$10664963.00
T-037,River South,Revenues,Sales tax,$0.00
T-038,Roosevelt/Cicero,Fund balance,End of year,$9714170.00
T-038,Roosevelt/Cicero,Fund balance,Reserved for debt service,$0.00
T-038,Roosevelt/Cicero,Fund balance,Reserved for encumbrances,$0.00
T-038,Roosevelt/Cicero,Fund balance,Designated for future redevelopment project costs,$9714170.00
T-038,Roosevelt/Cicero,Fund balance,Total fund balance,$9714170.00
T-038,Roosevelt/Cicero,Revenues,Total revenues,$2604480.00
T-038,Roosevelt/Cicero,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-038,Roosevelt/Cicero,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-038,Roosevelt/Cicero,Expenditures,Relocation costs. (q)(8),$0.00
T-038,Roosevelt/Cicero,Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-038,Roosevelt/Cicero,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-038,Roosevelt/Cicero,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-038,Roosevelt/Cicero,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-038,Roosevelt/Cicero,Fund balance,Beginning of year,$7208294.00
T-038,Roosevelt/Cicero,Revenues,Interest,$12096.00
T-038,Roosevelt/Cicero,Revenues,Sales tax,$0.00
T-038,Roosevelt/Cicero,Revenues,Property tax,$2592384.00
T-038,Roosevelt/Cicero,Revenues over expenditures,,$2505876.00
T-038,Roosevelt/Cicero,Expenditures,Cost of day care services and operational costs of day care centers.  (q)(11.5),$0.00
T-038,Roosevelt/Cicero,Expenditures,Total expenditures,$98604.00
T-038,Roosevelt/Cicero,Expenditures,Financing costs. (q)(6),$0.00
T-038,Roosevelt/Cicero,Expenditures,Cost of job training and retraining. (q)(5),$43120.00
T-038,Roosevelt/Cicero,Expenditures,Costs of construction of public works and improvements. (q)(4),$5382.00
T-038,Roosevelt/Cicero,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$0.00
T-038,Roosevelt/Cicero,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$0.00
T-038,Roosevelt/Cicero,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-038,Roosevelt/Cicero,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$50102.00
T-039,Roosevelt/Canal,Expenditures,Total expenditures,$3250648.00
T-039,Roosevelt/Canal,Fund balance,Total fund balance,$2324870.00
T-039,Roosevelt/Canal,Fund balance,Designated for future redevelopment project costs,$2324870.00
T-039,Roosevelt/Canal,Fund balance,Reserved for encumbrances,$0.00
T-039,Roosevelt/Canal,Fund balance,Reserved for debt service,$0.00
T-039,Roosevelt/Canal,Fund balance,End of year,$2324870.00
T-039,Roosevelt/Canal,Fund balance,Beginning of year,$4017488.00
T-039,Roosevelt/Canal,Expenditures over revenues,,$-1692618.00
T-039,Roosevelt/Canal,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-039,Roosevelt/Canal,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-039,Roosevelt/Canal,Expenditures,incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-039,Roosevelt/Canal,Expenditures,Costs of reimbursing private developers for interest expenses,$0.00
T-039,Roosevelt/Canal,Expenditures,"Costs of job training, retraining advanced vocational or career",$0.00
T-039,Roosevelt/Canal,Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-039,Roosevelt/Canal,Expenditures,Relocation costs. (q)(8),$0.00
T-039,Roosevelt/Canal,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-039,Roosevelt/Canal,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-039,Roosevelt/Canal,Expenditures,Financing costs. (q)(6),$0.00
T-039,Roosevelt/Canal,Expenditures,Cost of job training and retraining. (q)(5),$0.00
T-039,Roosevelt/Canal,Expenditures,Costs of construction of public works and improvements. (q)(4),$0.00
T-039,Roosevelt/Canal,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$0.00
T-039,Roosevelt/Canal,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$3221604.00
T-039,Roosevelt/Canal,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-039,Roosevelt/Canal,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$29044.00
T-039,Roosevelt/Canal,Revenues,Total revenues,$1558030.00
T-039,Roosevelt/Canal,Revenues,Interest,$2699.00
T-039,Roosevelt/Canal,Revenues,Sales tax,$0.00
T-039,Roosevelt/Canal,Revenues,Property tax,$1555331.00
T-040,Roosevelt-Homan,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-040,Roosevelt-Homan,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-040,Roosevelt-Homan,Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-040,Roosevelt-Homan,Expenditures,Relocation costs. (q)(8),$0.00
T-040,Roosevelt-Homan,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-040,Roosevelt-Homan,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-040,Roosevelt-Homan,Expenditures,Financing costs. (q)(6),$0.00
T-040,Roosevelt-Homan,Expenditures,Cost of job training and retraining. (q)(5),$0.00
T-040,Roosevelt-Homan,Expenditures,Costs of construction of public works and improvements. (q)(4),$68468.00
T-040,Roosevelt-Homan,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$57500.00
T-040,Roosevelt-Homan,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$76989.00
T-040,Roosevelt-Homan,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-040,Roosevelt-Homan,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$19706.00
T-040,Roosevelt-Homan,Revenues,Total revenues,$1070092.00
T-040,Roosevelt-Homan,Revenues,Interest,$107465.00
T-040,Roosevelt-Homan,Revenues,Sales tax,$0.00
T-040,Roosevelt-Homan,Revenues,Property tax,$962627.00
T-040,Roosevelt-Homan,Fund balance,Total fund balance,$6396725.00
T-040,Roosevelt-Homan,Fund balance,End of year,$6396725.00
T-040,Roosevelt-Homan,Fund balance,Reserved for debt service,$0.00
T-040,Roosevelt-Homan,Fund balance,Reserved for encumbrances,$0.00
T-040,Roosevelt-Homan,Fund balance,Designated for future redevelopment project costs,$6396725.00
T-040,Roosevelt-Homan,Fund balance,Beginning of year,$5549296.00
T-040,Roosevelt-Homan,Revenues over expenditures,,$847429.00
T-040,Roosevelt-Homan,Expenditures,Total expenditures,$222663.00
T-040,Roosevelt-Homan,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-040,Roosevelt-Homan,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),$0.00
T-041,Ryan Garfield,Revenues,Interest,$43860.00
T-041,Ryan Garfield,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$0.00
T-041,Ryan Garfield,Revenues,Total revenues,$43860.00
T-041,Ryan Garfield,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-041,Ryan Garfield,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$0.00
T-041,Ryan Garfield,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$0.00
T-041,Ryan Garfield,Expenditures,Costs of construction of public works and improvements. (q)(4),$0.00
T-041,Ryan Garfield,Expenditures,Cost of job training and retraining. (q)(5),$0.00
T-041,Ryan Garfield,Expenditures,Financing costs. (q)(6),$0.00
T-041,Ryan Garfield,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),$0.00
T-041,Ryan Garfield,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),$0.00
T-041,Ryan Garfield,Expenditures,Relocation costs. (q)(8),$0.00
T-041,Ryan Garfield,Expenditures,Payments in lieu of taxes. (q)(9),$0.00
T-041,Ryan Garfield,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",$0.00
T-041,Ryan Garfield,Revenues,Sales tax,$0.00
T-041,Ryan Garfield,Expenditures,Costs of construction of new housing units for low income and very incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-041,Ryan Garfield,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),$0.00
T-041,Ryan Garfield,Fund balance,Total fund balance,$0.00
T-041,Ryan Garfield,Fund balance,Undesignated (See Note 2 to the financial statements),$0.00
T-041,Ryan Garfield,Fund balance,Reserved for encumbrances,$0.00
T-041,Ryan Garfield,Revenues,Property tax,$0.00
T-041,Ryan Garfield,Fund balance,Reserved for debt service,$0.00
T-041,Ryan Garfield,Fund balance,End of year,$0.00
T-041,Ryan Garfield,Fund balance,Beginning of year,$5371047.00
T-041,Ryan Garfield,Expenditures and other financing uses over revenues,,$-5371047.00
T-041,Ryan Garfield,Other financing uses,Surplus distribution (See Note 2 to the financial statements),$-5414907.00
T-041,Ryan Garfield,Revenues over expenditures,,$43860.00
T-041,Ryan Garfield,Expenditures,Total expenditures,$0.00
T-041,Ryan Garfield,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
T-042,Sanitary Drainage and Ship Canal,Revenues,Interest,$0.00
T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing costs. (q)(6),$674938.00
T-042,Sanitary Drainage and Ship Canal,Expenditures,Cost of job training and retraining. (q)(5),$0.00
T-042,Sanitary Drainage and Ship Canal,Expenditures,Costs of construction of public works and improvements. (q)(4),$0.00
T-042,Sanitary Drainage and Ship Canal,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",$0.00
T-042,Sanitary Drainage and Ship Canal,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",$0.00
T-042,Sanitary Drainage and Ship Canal,Expenditures,Marketing costs.  (q)(1.6),$0.00
T-042,Sanitary Drainage and Ship Canal,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",$27943.00
T-042,Sanitary Drainage and Ship Canal,Revenues,Total revenues,$0.00
T-042,Sanitary Drainage and Ship Canal,Revenues,Sales tax,$0.00
T-042,Sanitary Drainage and Ship Canal,Revenues,Property tax,$0.00
T-042,Sanitary Drainage and Ship Canal,Revenues over expenditures,,$-702881.00
T-042,Sanitary Drainage and Ship Canal,Fund balance,Beginning of year,$1621153.00
T-042,Sanitary Drainage and Ship Canal,Fund balance,End of year,$918272.00
T-042,Sanitary Drainage and Ship Canal,Fund balance,Reserved for debt service,$874370.00
T-042,Sanitary Drainage and Ship Canal,Fund balance,Reserved for encumbrances,$0.00
T-042,Sanitary Drainage and Ship Canal,Fund balance,Designated for future redevelopment project costs,$1139757.00
T-042,Sanitary Drainage and Ship Canal,Fund balance,Total fund balance,$2014127.00
T-042,Sanitary Drainage and Ship Canal,Expenditures,Total expenditures,$702881.00
T-042,Sanitary Drainage and Ship Canal,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),$0.00
